,Unnamed: 0,dob,photo_taken,full_path,gender,name,face_location,face_score,second_face_score,date_of_birth,age
7687,21614,726017,2012,['11/34300811_1987-10-07_2012.jpg'],1.0,['Adam Cunnington'],[[ 72.05693375  72.05693375 179.14233438 179.14233438]],4.938979500619955,,1987,25
9751,27296,716267,2006,['22/33422_1961-01-26_2006.jpg'],1.0,['Wayne Gretzky'],[[103.43603433 154.6940515  333.17711158 384.43512875]],5.246548667204993,,1961,45
19274,54398,730126,2013,['12/36818612_1999-01-06_2013.jpg'],0.0,['Elena Radionova'],[[ 92.10632464  82.94909218 173.98741681 164.83018435]],4.103690251706514,,1999,14
13501,38014,702160,1945,['97/40616397_1922-06-13_1945.jpg'],1.0,['Edward Shames'],[[ 73.05439519  43.95263712 138.23335087 109.13159279]],4.547370840995717,,1922,23
8223,22917,727242,2012,['21/36388521_1991-02-13_2012.jpg'],1.0,['Aaron Rhind'],[[138.11816489 115.24513741 343.09541222 320.22238474]],5.76353442500976,,1991,21
1041,2806,719956,2013,['50/14059850_1971-03-04_2013.jpg'],0.0,['Emily Bazelon'],[[139.55610672  87.5525667  294.68672678 242.68318676]],4.313153065831719,,1971,42
13869,39155,724294,2009,['08/1269508_1983-01-18_2009.jpg'],0.0,['Samantha Mumba'],[[ 90.26061702  67.80346276 190.88581116 168.42865691]],5.44361833425677,,1983,26
15089,42711,714544,2011,['46/476846_1956-05-09_2011.jpg'],0.0,['Wendy Crewson'],[[ 98.93881545 123.45351931 318.69115021 343.20585407]],4.41865698681085,,1956,55
5843,16437,703726,1949,['80/852480_1926-09-26_1949.jpg'],0.0,['Foekje Dillema'],[[140.26488871 140.26488871 318.59403133 318.59403133]],4.401486401122002,,1926,23
15214,43059,727210,2011,['22/28679922_1991-01-12_2011.jpg'],1.0,['Ezequiel Calvente'],[[ 40.70425392 200.00126958 398.24253916 557.53955483]],4.8081013652907645,,1991,20
5221,14592,727906,2015,['42/23216642_1992-12-08_2015.jpg'],1.0,['Edwin Cardona'],[[112.93763463  26.37791568 151.47950816  64.91978921]],3.5825746934211757,,1992,23
18608,52650,716369,2003,['57/2385757_1961-05-08_2003.jpg'],1.0,['David Winning'],[[ 82.37290448 123.21735671 265.48893954 306.33339178]],4.092760990860008,,1961,42
3505,9743,723953,2013,['05/2515605_1982-02-11_2013.jpg'],1.0,['Neil Robertson'],[[160.17701567 239.8255235  338.50615829 418.15466612]],4.443922490451542,,1982,31
14707,41501,715576,2013,['21/7568621_1959-03-07_2013.jpg'],1.0,['Nick Searcy'],[[ 98.93881545 123.45351931 318.69115021 343.20585407]],3.8668417000811854,,1959,54
11804,33212,724834,2014,['90/42508090_1984-07-11_2014.jpg'],1.0,['Jarekus Singleton'],[[149.50937107  56.61601415 232.2333923  139.34003538]],3.627797624298029,,1984,30
16809,47515,716042,2011,['64/2577664_1960-06-15_2011.jpg'],0.0,['Michèle Laroque'],[[160.22557511 135.71087124 269.66174249 245.14703862]],3.4215275293874314,,1960,51
8896,24851,724695,2011,['70/1040670_1984-02-23_2011.jpg'],1.0,['Andre Ward'],[[206.73724733  92.37210993 411.71449467 297.34935726]],4.769325418413356,,1984,27
4213,11781,715552,1986,['10/19115710_1959-02-11_1986.jpg'],1.0,['René Müller'],[[125.56196808  83.97464539 311.9049202  270.31759751]],4.482891393693434,,1959,27
14586,41097,726655,2014,['53/25660153_1989-07-06_2014.jpg'],1.0,['Elias Harris'],[[220.11981704  69.30031783 342.77158913 191.95208991]],4.364283765293031,,1989,25
11547,32522,705353,1957,['00/41577800_1931-03-11_1957.jpg'],0.0,['Marisa Del Frate'],[[ 85.36 169.84 337.92 422.4 ]],3.2934491079545136,,1931,26
5059,14179,728061,2015,['06/42208206_1993-05-12_2015.jpg'],1.0,['Anthony Gale'],[[130.93069969  93.77335692 297.25874214 260.10139937]],4.475934301682448,,1993,22
7297,20560,724922,2011,['46/5231846_1984-10-07_2011.jpg'],1.0,['Simon Poulsen'],[[170.92018868  85.79609434 425.6204717  336.        ]],3.7674234355558873,,1984,27
9443,26491,719047,2007,['25/2243925_1968-09-06_2007.jpg'],1.0,['Paul Rea'],[[149.36914682 116.34978086 297.17429363 264.15492767]],3.23854756497764,,1968,39
